Released,Model
2011-10-14,iPhone 4 (8 GB)
2011-10-14,iPhone 4S (16 GB)
2011-10-14,iPhone 4S (32 & 64 GB)
2011-10-24,MacBook Pro (Late 2011)
2012-03-16,iPad (3rd gen)
2012-03-16,Apple TV (3rd gen)
2012-06-11,Mac Pro (Mid 2012)
2012-06-11,MacBook Air (Mid 2012)
2012-06-11,MacBook Pro (13-inch, Mid 2012)
2012-06-11,MacBook Pro (15-inch, Mid 2012)
2012-06-11,MacBook Pro (Retina, Mid 2012)
2012-06-11,AirPort Express 802.11n (2nd gen)
2012-09-12,EarPods with 3.5mm connector
2012-09-12,iPod Touch (4th generation) (16 GB)
2012-09-21,iPhone 5
2012-10-11,iPod Touch (5th generation) (32 & 64 GB)
2012-10-11,iPod Nano (7th gen)
2012-10-23,Mac Mini (Late 2012)
2012-10-23,MacBook Pro (Retina, 13-inch, Late 2012)
2012-11-02,iPad Mini Wi-Fi (16 GB)
2012-11-02,iPad Mini Wi-Fi (32 & 64 GB)
2012-11-02,iPad (4th gen) Wi-Fi (16 GB)
2012-11-02,iPad (4th gen) Wi-Fi (32 & 64 GB)
2012-11-16,iPad Mini Wi-Fi + Cellular (16 GB)
2012-11-16,iPad Mini Wi-Fi + Cellular (32 & 64 GB)
2012-11-16,iPad (4th gen) Wi-Fi + Cellular (16 GB)
2012-11-16,iPad (4th gen) Wi-Fi + Cellular (32 & 64 GB)
2012-11-30,iMac (21.5-inch, Late 2012)
2012-12-01,iMac (27-inch, Late 2012)
2013-01-28,Apple TV (3rd generation Rev A)
2013-02-05,iPad (4th gen) (128 GB)
2013-02-13,MacBook Pro (Retina, Early 2013)
2013-05-30,iPod Touch (5th generation, Mid 2013) (16 GB)
2013-06-10,AirPort Extreme 802.11ac
2013-06-10,AirPort Time Capsule 802.11ac
2013-06-10,MacBook Air (Mid 2013)
2013-09-20,iPhone 4S (8 GB)
2013-09-20,iPhone 5C (16 & 32 GB)
2013-09-20,iPhone 5S (16 & 32 GB)
2013-09-20,iPhone 5S (64 GB)
2013-09-24,iMac (21.5-inch, Late 2013)
2013-09-24,iMac (27-inch, Late 2013)
2013-10-22,MacBook Pro (Retina, Late 2013)
2013-11-01,iPad Air (16 & 32 GB)
2013-11-01,iPad Air (64 & 128 GB)
2013-11-12,iPad Mini 2 (16 GB)
2013-11-12,iPad Mini 2 (32 GB)
2013-11-12,iPad Mini 2 (64 & 128 GB)
2013-12-19,Mac Pro (Late 2013)
2014-03-18,iPhone 5C (8 GB)
